,datos
1803,5.04
1804,4.32
1805,3.68
1806,3.04
1807,2.48
1808,2.24
1809,2.08
1810,2.16
1811,2.4
1812,2.88
1813,3.6
1814,4.24
1815,5.04
1816,5.68
1817,6.4
1818,6.96
1819,7.28
1820,7.44
1821,7.36
1822,7.12
1823,6.640000000000001
1824,6.16
1825,5.44
1826,4.72
1827,4.0
1828,3.36
1829,2.72
1830,2.32
1831,2.08
1832,2.08
1833,2.32
1834,2.64
1835,3.2800000000000002
1836,4.0
1837,4.72
1838,5.44
1839,6.16
1840,6.72
1841,7.12
1842,7.36
1843,7.44
1844,7.28
1845,6.88
1846,6.4
1847,5.68
1848,4.96
1849,4.32
1850,3.6
1851,2.88
1852,2.4
1853,2.16
1854,2.16
1855,2.24
1856,2.48
1857,3.04
1858,3.68
1859,4.4
1860,5.04
1861,5.76
1862,6.4
1863,6.88
1864,7.28
1865,7.44
1866,7.36
1867,7.04
1868,6.5600000000000005
1869,6.0
1870,5.28
1871,4.5600000000000005
1872,3.92
1873,3.2
1874,2.64
1875,2.32
1876,2.24
1877,2.24
1878,2.4
1879,2.8000000000000003
1880,3.44
1881,4.08
1882,4.72
1883,5.44
1884,6.24
1885,6.72
1886,7.2
1887,7.36
1888,7.44
1889,7.12
1890,6.8
1891,6.24
1892,5.5200000000000005
1893,4.88
1894,4.16
1895,3.6
1896,2.88
1897,2.48
1898,2.24
1899,2.24
1900,2.32
1901,2.64
1902,3.12
1903,3.84
1904,4.48
1905,5.12
1906,5.92
1907,6.5600000000000005
1908,6.96
1909,7.28
1910,7.36
1911,7.28
1912,6.88
1913,6.4
1914,5.84
1915,5.12
1916,4.48
1917,3.84
1918,3.2
1919,2.64
1920,2.32
1921,2.16
1922,2.24
1923,2.4
1924,2.88
1925,3.6
1926,4.24
1927,4.88
1928,5.6000000000000005
1929,6.32
1930,6.72
1931,7.12
1932,7.28
1933,7.28
1934,7.12
1935,6.72
1936,6.24
1937,5.5200000000000005
1938,4.8
1939,4.16
1940,3.44
1941,2.72
1942,2.4
1943,2.24
1944,2.24
1945,2.32
1946,2.72
1947,3.36
1948,3.92
1949,4.64
1950,5.28
1951,5.92
1952,6.48
1953,6.96
1954,7.28
1955,7.28
1956,7.2
1957,6.88
1958,6.4
1959,5.76
1960,5.04
1961,4.4
1962,3.7600000000000002
1963,3.12
1964,2.56
1965,2.32
1966,2.24
1967,2.32
1968,2.56
1969,3.04
1970,3.68
1971,4.32
1972,4.96
1973,5.6000000000000005
1974,6.32
1975,6.8
1976,7.12
1977,7.36
1978,7.28
1979,7.04
1980,6.640000000000001
1981,6.0
1982,5.28
1983,4.64
1984,4.0
1985,3.36
1986,2.8000000000000003
1987,2.48
1988,2.24
1989,2.24
1990,2.48
1991,2.8000000000000003
1992,3.36
